stringId
9606.ENSP00000363596
9606.ENSP00000459962
9606.ENSP00000323926
9606.ENSP00000354859
9606.ENSP00000369050
9606.ENSP00000262209
9606.ENSP00000316244
9606.ENSP00000287820
9606.ENSP00000380081
9606.ENSP00000406986
9606.ENSP00000222982
9606.ENSP00000347754
9606.ENSP00000375894
9606.ENSP00000334198
9606.ENSP00000406191
9606.ENSP00000352011
9606.ENSP00000264318
9606.ENSP00000250615
9606.ENSP00000337915
9606.ENSP00000363136
9606.ENSP00000342222
9606.ENSP00000335592
9606.ENSP00000342007
9606.ENSP00000243167
9606.ENSP00000295834
9606.ENSP00000360372
9606.ENSP00000260682
9606.ENSP00000357429
9606.ENSP00000362817
9606.ENSP00000297258
